epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4848.7,1.09572,0.5881,1.11521,0.9349,0.90392,0.95232,0.62893,1.15081,0.51603,1.11348,5.842e-05,5.842e-05,5.842e-05
86,4903.38,1.09407,0.59468,1.11716,0.93343,0.90882,0.95575,0.63288,1.14683,0.5087,1.11319,5.7925e-05,5.7925e-05,5.7925e-05
87,4959.97,1.09222,0.59474,1.11827,0.92886,0.9098,0.95435,0.63518,1.1555,0.50887,1.12168,5.743e-05,5.743e-05,5.743e-05
88,5014.58,1.08536,0.59069,1.11113,0.92988,0.91011,0.95643,0.6414,1.1331,0.5033,1.11066,5.6935e-05,5.6935e-05,5.6935e-05
89,5071.1,1.07744,0.59294,1.11645,0.92187,0.90224,0.95214,0.62907,1.15872,0.51339,1.12422,5.644e-05,5.644e-05,5.644e-05
90,5128.53,1.06994,0.5859,1.10844,0.93079,0.9097,0.95517,0.6416,1.13547,0.50546,1.1114,5.5945e-05,5.5945e-05,5.5945e-05
91,5184.94,1.09245,0.58862,1.12212,0.94123,0.89314,0.95326,0.63392,1.1498,0.50791,1.11623,5.545e-05,5.545e-05,5.545e-05
92,5241.09,1.07037,0.57863,1.10352,0.94372,0.90098,0.95548,0.63998,1.13507,0.50022,1.10874,5.4955e-05,5.4955e-05,5.4955e-05
93,5295.55,1.06054,0.5691,1.10076,0.93161,0.89902,0.9514,0.63493,1.14225,0.50434,1.11517,5.446e-05,5.446e-05,5.446e-05
94,5351.29,1.06722,0.57561,1.1035,0.94321,0.91184,0.95966,0.64237,1.12881,0.49598,1.1086,5.3965e-05,5.3965e-05,5.3965e-05
95,5407.26,1.06572,0.57184,1.10248,0.94169,0.91667,0.95988,0.64833,1.1224,0.49177,1.10699,5.347e-05,5.347e-05,5.347e-05
96,5464.18,1.06025,0.57138,1.10168,0.94079,0.90196,0.95515,0.63999,1.13568,0.49517,1.11164,5.2975e-05,5.2975e-05,5.2975e-05
97,5520.94,1.06126,0.57117,1.10344,0.95479,0.90784,0.95872,0.64216,1.12931,0.48962,1.10864,5.248e-05,5.248e-05,5.248e-05
98,5577.41,1.05489,0.57382,1.09929,0.9422,0.89314,0.95329,0.63737,1.12782,0.49821,1.10793,5.1985e-05,5.1985e-05,5.1985e-05
99,5634.58,1.05031,0.56011,1.093,0.94151,0.89947,0.95351,0.63906,1.12643,0.49496,1.10831,5.149e-05,5.149e-05,5.149e-05
100,5690.74,1.06682,0.56803,1.1067,0.93041,0.90437,0.95452,0.63958,1.12904,0.49488,1.10514,5.0995e-05,5.0995e-05,5.0995e-05
101,5747.5,1.04827,0.56375,1.0908,0.93605,0.90588,0.95592,0.64368,1.12558,0.49043,1.10025,5.05e-05,5.05e-05,5.05e-05
102,5801.81,1.04296,0.56269,1.09098,0.92491,0.90571,0.95263,0.63576,1.13196,0.49523,1.10549,5.0005e-05,5.0005e-05,5.0005e-05
103,5858.69,1.0499,0.56236,1.09692,0.92504,0.90588,0.95251,0.63403,1.145,0.50066,1.10953,4.951e-05,4.951e-05,4.951e-05
104,5913.48,1.0573,0.57038,1.09884,0.92999,0.90686,0.95502,0.64291,1.12314,0.49145,1.10169,4.9015e-05,4.9015e-05,4.9015e-05
105,5969.32,1.04004,0.56185,1.08817,0.93758,0.89902,0.95319,0.64462,1.11721,0.48862,1.10019,4.852e-05,4.852e-05,4.852e-05
106,6026.06,1.04319,0.55697,1.09195,0.93436,0.90709,0.95297,0.64268,1.116,0.49068,1.10392,4.8025e-05,4.8025e-05,4.8025e-05
107,6081.37,1.04479,0.55712,1.09069,0.94236,0.91369,0.95488,0.652,1.1074,0.48488,1.09814,4.753e-05,4.753e-05,4.753e-05
108,6138.2,1.03385,0.55614,1.08667,0.94847,0.90222,0.95465,0.64526,1.12114,0.48927,1.10305,4.7035e-05,4.7035e-05,4.7035e-05
109,6194.53,1.04111,0.56024,1.09068,0.94942,0.90175,0.95636,0.64861,1.1128,0.48561,1.0985,4.654e-05,4.654e-05,4.654e-05
110,6251.13,1.02186,0.54937,1.08305,0.94671,0.9057,0.95593,0.6486,1.10633,0.48409,1.09653,4.6045e-05,4.6045e-05,4.6045e-05
111,6306.16,1.03518,0.55359,1.0863,0.94885,0.90392,0.95666,0.64895,1.11209,0.48547,1.09534,4.555e-05,4.555e-05,4.555e-05
112,6363.59,1.02464,0.54845,1.08405,0.95089,0.90392,0.95892,0.65255,1.10797,0.47745,1.0971,4.5055e-05,4.5055e-05,4.5055e-05
113,6419.5,1.0217,0.54964,1.08156,0.94035,0.91182,0.95531,0.65318,1.10088,0.4748,1.09123,4.456e-05,4.456e-05,4.456e-05
114,6475.43,1.01432,0.53954,1.07456,0.9398,0.90303,0.95483,0.65361,1.10262,0.48268,1.09155,4.4065e-05,4.4065e-05,4.4065e-05
115,6531.44,1.0248,0.54606,1.08234,0.94933,0.89706,0.95635,0.65164,1.10288,0.47662,1.09395,4.357e-05,4.357e-05,4.357e-05
116,6588.51,1.02847,0.54766,1.09012,0.94785,0.90872,0.95705,0.65111,1.10252,0.4775,1.09547,4.3075e-05,4.3075e-05,4.3075e-05
117,6644.42,1.01614,0.53734,1.07726,0.94303,0.90873,0.95607,0.65185,1.10808,0.47726,1.09938,4.258e-05,4.258e-05,4.258e-05
118,6700.3,1.03113,0.54436,1.08321,0.95374,0.90392,0.9565,0.65453,1.10274,0.47229,1.09649,4.2085e-05,4.2085e-05,4.2085e-05
119,6754.74,1.02111,0.54343,1.07989,0.94963,0.90566,0.95656,0.65226,1.10306,0.4771,1.09718,4.159e-05,4.159e-05,4.159e-05
120,6823.31,1.01463,0.53727,1.07497,0.94278,0.90686,0.95658,0.65565,1.09134,0.47503,1.09052,4.1095e-05,4.1095e-05,4.1095e-05
121,6879.07,1.01244,0.53771,1.08157,0.94486,0.90686,0.95741,0.65744,1.08639,0.47499,1.08798,4.06e-05,4.06e-05,4.06e-05
122,6937.95,1.00723,0.53937,1.07363,0.9479,0.90966,0.95882,0.66101,1.08366,0.47119,1.08705,4.0105e-05,4.0105e-05,4.0105e-05
123,6996.6,1.01428,0.53821,1.07602,0.94882,0.90876,0.95899,0.6617,1.08264,0.46846,1.08722,3.961e-05,3.961e-05,3.961e-05
124,7053.34,1.00487,0.52908,1.07289,0.94621,0.90784,0.95838,0.65912,1.08871,0.46878,1.08963,3.9115e-05,3.9115e-05,3.9115e-05
125,7111.45,0.98888,0.52617,1.0695,0.94766,0.90527,0.96013,0.65748,1.09429,0.46592,1.09204,3.862e-05,3.862e-05,3.862e-05
126,7169.2,1.00844,0.53297,1.0686,0.94355,0.90098,0.95917,0.66017,1.09071,0.46526,1.09042,3.8125e-05,3.8125e-05,3.8125e-05
127,7227.5,1.00227,0.53191,1.07392,0.93951,0.91471,0.95896,0.65905,1.08753,0.46513,1.08788,3.763e-05,3.763e-05,3.763e-05
128,7284.93,1.00768,0.53895,1.07459,0.93946,0.91278,0.95796,0.65833,1.08808,0.4672,1.08797,3.7135e-05,3.7135e-05,3.7135e-05
129,7343.3,0.99821,0.53187,1.07194,0.94413,0.91275,0.9569,0.65757,1.09196,0.46536,1.09204,3.664e-05,3.664e-05,3.664e-05
130,7399.02,0.99446,0.52697,1.06671,0.9499,0.90784,0.95592,0.65948,1.09036,0.4678,1.09117,3.6145e-05,3.6145e-05,3.6145e-05
131,7453.85,1.00275,0.52753,1.06857,0.94799,0.91176,0.95886,0.66212,1.08932,0.46498,1.09007,3.565e-05,3.565e-05,3.565e-05
132,7508.2,0.99124,0.52106,1.06409,0.94664,0.90686,0.958,0.65919,1.0839,0.46469,1.08749,3.5155e-05,3.5155e-05,3.5155e-05
133,7564.2,0.9902,0.52375,1.06506,0.94477,0.90588,0.957,0.6594,1.07937,0.46352,1.08586,3.466e-05,3.466e-05,3.466e-05
134,7622.38,0.98389,0.51954,1.06748,0.94208,0.90588,0.95717,0.6614,1.07267,0.45976,1.08301,3.4165e-05,3.4165e-05,3.4165e-05
135,7679.36,0.99221,0.52486,1.06767,0.94862,0.90496,0.95844,0.66161,1.07664,0.46025,1.08507,3.367e-05,3.367e-05,3.367e-05
136,7736.9,0.98817,0.52152,1.06439,0.94775,0.90688,0.95956,0.66324,1.0742,0.46107,1.08431,3.3175e-05,3.3175e-05,3.3175e-05
137,7793.24,0.98682,0.52025,1.06567,0.95319,0.90588,0.95856,0.66765,1.07221,0.46273,1.08285,3.268e-05,3.268e-05,3.268e-05
138,7848.03,0.97283,0.50942,1.05697,0.94513,0.91183,0.96034,0.66817,1.0691,0.46294,1.08123,3.2185e-05,3.2185e-05,3.2185e-05
139,7904.06,0.98254,0.52389,1.064,0.94904,0.91078,0.96125,0.67003,1.06558,0.46112,1.07891,3.169e-05,3.169e-05,3.169e-05
140,7959.63,0.97702,0.51699,1.06015,0.94588,0.90814,0.96031,0.67139,1.06859,0.46138,1.08096,3.1195e-05,3.1195e-05,3.1195e-05
141,8014.66,0.97576,0.51241,1.05842,0.94896,0.91176,0.96127,0.66936,1.06791,0.45958,1.08113,3.07e-05,3.07e-05,3.07e-05
142,8070.38,0.96315,0.50564,1.05005,0.94224,0.91863,0.96099,0.66797,1.06851,0.46311,1.08003,3.0205e-05,3.0205e-05,3.0205e-05
143,8126.26,0.97312,0.51462,1.0577,0.95639,0.90098,0.9606,0.66993,1.06669,0.46167,1.07894,2.971e-05,2.971e-05,2.971e-05
144,8181.42,0.96636,0.50697,1.0564,0.95426,0.90006,0.9599,0.67104,1.06595,0.45974,1.07891,2.9215e-05,2.9215e-05,2.9215e-05
145,8236.86,0.96857,0.50898,1.05303,0.9444,0.91597,0.95899,0.66805,1.06528,0.46022,1.07962,2.872e-05,2.872e-05,2.872e-05
146,8292.07,0.97399,0.51197,1.05576,0.95077,0.90883,0.96049,0.66973,1.06508,0.45916,1.08038,2.8225e-05,2.8225e-05,2.8225e-05
147,8347.38,0.96385,0.50419,1.05275,0.95475,0.91023,0.96145,0.66756,1.06851,0.46073,1.0828,2.773e-05,2.773e-05,2.773e-05
148,8402.82,0.96287,0.50533,1.05246,0.95435,0.9098,0.96094,0.66813,1.06694,0.4607,1.08153,2.7235e-05,2.7235e-05,2.7235e-05
149,8458.03,0.97461,0.51108,1.0559,0.95476,0.91038,0.96109,0.66942,1.06671,0.46003,1.08143,2.674e-05,2.674e-05,2.674e-05
150,8513.49,0.96317,0.50699,1.05283,0.95462,0.9098,0.9607,0.66942,1.06451,0.45905,1.07946,2.6245e-05,2.6245e-05,2.6245e-05
151,8568.89,0.96247,0.5073,1.05412,0.95423,0.91078,0.96008,0.66838,1.06568,0.45944,1.07943,2.575e-05,2.575e-05,2.575e-05
152,8624.86,0.95172,0.49734,1.04592,0.9456,0.92023,0.96074,0.66796,1.06296,0.45715,1.07794,2.5255e-05,2.5255e-05,2.5255e-05
153,8680.18,0.94968,0.49786,1.05024,0.95015,0.91556,0.9594,0.66857,1.06303,0.45502,1.07858,2.476e-05,2.476e-05,2.476e-05
154,8735.73,0.95263,0.49647,1.05058,0.95207,0.91536,0.96093,0.66953,1.06137,0.45334,1.07763,2.4265e-05,2.4265e-05,2.4265e-05
155,8791.16,0.95784,0.49402,1.05272,0.95568,0.91569,0.96107,0.67092,1.05904,0.45196,1.07631,2.377e-05,2.377e-05,2.377e-05
156,8846.33,0.95764,0.5016,1.05038,0.95468,0.91863,0.9606,0.67065,1.0579,0.45186,1.07657,2.3275e-05,2.3275e-05,2.3275e-05
157,8902.41,0.94961,0.49901,1.04813,0.95599,0.91584,0.95941,0.67092,1.05799,0.45244,1.07701,2.278e-05,2.278e-05,2.278e-05
158,8957.25,0.95379,0.49768,1.04933,0.95353,0.91078,0.95906,0.67252,1.05692,0.45184,1.07681,2.2285e-05,2.2285e-05,2.2285e-05
159,9012.74,0.94254,0.49041,1.03999,0.95102,0.91381,0.95899,0.67196,1.05745,0.45176,1.07692,2.179e-05,2.179e-05,2.179e-05
160,9068.34,0.95179,0.49416,1.04791,0.95188,0.91154,0.95897,0.67136,1.05794,0.4509,1.07667,2.1295e-05,2.1295e-05,2.1295e-05
161,9123.58,0.94955,0.50097,1.05038,0.95498,0.9098,0.95882,0.6699,1.05806,0.4519,1.07715,2.08e-05,2.08e-05,2.08e-05
162,9179.22,0.9517,0.49894,1.04703,0.95081,0.90882,0.95812,0.67016,1.0579,0.45198,1.07721,2.0305e-05,2.0305e-05,2.0305e-05
163,9234.72,0.94769,0.4946,1.04554,0.95181,0.91018,0.95907,0.67205,1.05919,0.45352,1.07812,1.981e-05,1.981e-05,1.981e-05
